ep,pid,ev,mu,sig,mean,best,ent,buf,step
542,3445746,-0.086,-0.00034,0.1,,,,,
543,3445746,-0.053,-0.00034,0.1,,,,,
544,3445746,-0.223,-0.00034,0.1,,,,,
545,3445746,-2.167,-0.00034,0.1,,,,,
546,3445746,+0.109,-0.00034,0.1,,,,,
547,3445746,-0.304,-0.00034,0.1,,,,,
548,3445746,-0.023,-0.00034,0.1,,,,,
549,3445746,-0.142,-0.00034,0.1,,,,,
550,3445746,-1.103,-0.00034,0.1,,,,,
551,3445746,+0.025,-0.00034,0.1,,,,,
552,3445746,-0.044,-0.00034,0.1,,,,,
553,3445746,-1.229,-0.00034,0.1,,,,,
554,3445746,-0.905,-0.00034,0.1,,,,,
555,3445746,+0.049,-0.00034,0.1,,,,,
556,3445746,-0.065,-0.00034,0.1,,,,,
557,3445746,+0.090,-0.00034,0.1,,,,,
558,3445746,-1.239,-0.00034,0.1,,,,,
559,3445746,-0.547,-0.00034,0.1,,,,,
560,3445746,-0.321,-0.00034,0.1,,,,,
561,3445746,-0.114,-0.00034,0.1,,,,,
562,3445746,-0.694,-0.00034,0.1,,,,,
563,3445746,+0.003,-0.00034,0.1,,,,,
564,3445746,-0.025,-0.00034,0.1,,,,,
565,3445746,+0.003,-0.00034,0.1,,,,,
566,3445746,+0.027,-0.00034,0.1,,,,,
567,3445746,+0.107,-0.00034,0.1,,,,,
568,3445746,-0.116,-0.00034,0.1,,,,,
569,3445746,+0.283,-0.00034,0.1,,,,,
570,3445746,-0.194,-0.00034,0.1,,,,,
571,3445746,-1.208,-0.00034,0.1,,,,,
572,3445746,-0.159,-0.00034,0.1,,,,,
573,3445746,+0.098,-0.00034,0.1,,,,,
574,3445746,-1.071,-0.00034,0.1,,,,,
575,3445746,+0.589,-0.00034,0.1,,,,,
576,3445746,+0.118,-0.00034,0.1,,,,,
577,3445746,-0.136,-0.00034,0.1,,,,,
578,3445746,+0.123,-0.00034,0.1,,,,,
579,3445746,-0.006,-0.00034,0.1,,,,,
580,3445746,-0.091,-0.00034,0.1,,,,,
