ep,pid,ev,mu,sig,mean,best,ent,buf,step
512,3699610,+0.046,-0.00034,0.1,,,,,
513,3699610,+0.129,-0.00034,0.1,,,,,
514,3699610,-1.935,-0.00034,0.1,,,,,
515,3699610,+0.391,-0.00034,0.1,,,,,
516,3699610,+0.129,-0.00034,0.1,,,,,
517,3699610,+0.402,-0.00034,0.1,,,,,
518,3699610,-1.619,-0.00034,0.1,,,,,
519,3699610,+0.719,-0.00034,0.1,,,,,
520,3699610,-0.229,-0.00034,0.1,,,,,
521,3699610,+0.778,-0.00034,0.1,,,,,
522,3699610,-0.098,-0.00034,0.1,,,,,
523,3699610,-0.059,-0.00034,0.1,,,,,
524,3699610,+0.414,-0.00034,0.1,,,,,
525,3699610,+0.019,-0.00034,0.1,,,,,
526,3699610,-3.422,-0.00034,0.1,,,,,
527,3699610,+0.302,-0.00034,0.1,,,,,
528,3699610,+0.408,-0.00034,0.1,,,,,
529,3699610,+0.659,-0.00034,0.1,,,,,
530,3699610,+0.469,-0.00034,0.1,,,,,
531,3699610,-0.175,-0.00034,0.1,,,,,
532,3699610,+0.411,-0.00034,0.1,,,,,
533,3699610,+0.256,-0.00034,0.1,,,,,
534,3699610,-0.230,-0.00034,0.1,,,,,
535,3699610,-0.420,-0.00034,0.1,,,,,
536,3699610,-1.575,-0.00034,0.1,,,,,
537,3699610,+0.630,-0.00034,0.1,,,,,
538,3699610,-0.639,-0.00034,0.1,,,,,
539,3699610,+0.470,-0.00034,0.1,,,,,
540,3699610,+0.458,-0.00034,0.1,,,,,
541,3699610,+0.546,-0.00034,0.1,,,,,
542,3699610,-0.022,-0.00034,0.1,,,,,
543,3699610,+0.812,-0.00034,0.1,,,,,
544,3699610,+0.469,-0.00034,0.1,,,,,
545,3699610,+0.600,-0.00034,0.1,,,,,
546,3699610,+0.536,-0.00034,0.1,,,,,
547,3699610,+0.594,-0.00034,0.1,,,,,
548,3699610,+0.243,-0.00034,0.1,,,,,
549,3699610,-0.037,-0.00034,0.1,,,,,
550,3699610,-0.003,-0.00034,0.1,,,,,
551,3699610,+0.112,-0.00034,0.1,,,,,
552,3699610,-10.389,-0.00034,0.1,,,,,
553,3699610,-7.763,-0.00034,0.1,,,,,
554,3699610,-9.993,-0.00034,0.1,,,,,
555,3699610,-4.543,-0.00034,0.1,,,,,
556,3699610,-6.830,-0.00034,0.1,,,,,
557,3699610,+0.545,-0.00034,0.1,,,,,
558,3699610,+0.284,-0.00034,0.1,,,,,
559,3699610,-4.936,-0.00034,0.1,,,,,
560,3699610,-1.523,-0.00034,0.1,,,,,
561,3699610,+0.740,-0.00034,0.1,,,,,
562,3699610,+0.291,-0.00034,0.1,,,,,
563,3699610,-0.244,-0.00034,0.1,,,,,
564,3699610,+0.654,-0.00034,0.1,,,,,
565,3699610,-0.097,-0.00034,0.1,,,,,
566,3699610,-0.124,-0.00034,0.1,,,,,
567,3699610,+0.725,-0.00034,0.1,,,,,
568,3699610,-0.901,-0.00034,0.1,,,,,
569,3699610,+0.795,-0.00034,0.1,,,,,
570,3699610,+0.114,-0.00034,0.1,,,,,
571,3699610,-0.057,-0.00034,0.1,,,,,
572,3699610,+0.452,-0.00034,0.1,,,,,
573,3699610,+0.514,-0.00034,0.1,,,,,
574,3699610,-0.227,-0.00034,0.1,,,,,
575,3699610,-1.351,-0.00034,0.1,,,,,
576,3699610,-2.004,-0.00034,0.1,,,,,
577,3699610,+0.640,-0.00034,0.1,,,,,
578,3699610,+0.050,-0.00034,0.1,,,,,
579,3699610,+0.172,-0.00034,0.1,,,,,
580,3699610,-0.012,-0.00034,0.1,,,,,
